,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
0,2009,414000.0,414000.0,414000.0,2009-04-03
1,2009,14501669.0,12209426.0,44348547.0,2008-11-04
2,2009,4131462.75,4131462.75,4131462.75,2008-10-20
3,2009,2828.97,2828.97,2828.97,2008-12-08
4,2009,83857.52,83857.52,83857.52,2008-12-10
5,2009,27816.96,27816.96,27816.96,2008-12-01
6,2009,18246.57,18246.57,18246.57,2008-11-19
7,2009,899990.32,899990.32,899990.32,2008-12-31
8,2009,6908293.99,6908293.99,0.0,2008-12-13
9,2009,43664.4,43664.4,43664.4,2008-12-12
10,2009,309041.84,309041.84,467288.88,2008-12-02
11,2009,56118.07,56118.07,56118.07,2008-12-18
12,2009,48370.48,48370.48,48370.48,2008-10-23
13,2009,2879.04,2879.04,2879.04,2008-10-31
14,2009,857263.41,857263.41,857263.41,2008-10-29
15,2009,5390.0,5390.0,0.0,2008-11-24
16,2009,12227959.0,3640386.0,12227959.0,2008-12-12
17,2009,98925.36,98925.36,98925.36,2008-10-20
18,2009,2128285.33,2128285.33,2128285.33,2008-12-31
19,2009,7773.65,7773.65,7773.65,2008-10-28
20,2009,60365.21,60365.21,60365.21,2008-10-31
21,2009,1351706.6,378817.34,1351706.6,2008-12-02
22,2009,4670.58,4670.58,4670.58,2008-12-03
23,2009,79145.37,79145.37,79145.37,2008-12-23
24,2009,2664.0,2664.0,2664.0,2008-10-03
25,2009,1197855.2,1197855.2,1197855.2,2008-11-05
26,2009,1236800.0,1236800.0,1236800.0,2008-12-05
27,2009,70433.58,0.0,70433.58,2008-10-01
28,2009,39430.24,39430.24,39430.24,2008-10-29
29,2009,96009.3,96009.3,0.0,2008-11-19
30,2009,5258.97,5258.97,0.0,2008-11-11
31,2009,2215453.0,2215453.0,2215453.0,2008-10-15
32,2009,94808.4,94808.4,646268.8,2008-12-02
33,2009,8791.12,8791.12,8791.12,2009-02-25
34,2009,1342560.0,1342560.0,1342560.0,2008-12-11
35,2009,349900.0,349900.0,349900.0,2008-12-17
36,2009,13470387.01,13470387.01,13470387.01,2008-12-30
37,2009,157817.0,157817.0,157817.0,2008-12-23
38,2009,99671.15,99671.15,0.0,2008-12-16
39,2009,26277.88,26277.88,26277.88,2008-12-31
40,2009,1068769.47,1068769.47,0.0,2008-12-13
41,2009,466796.6,466796.6,466796.6,2008-11-10
42,2009,6975.0,6975.0,6975.0,2008-11-18
43,2009,13200.0,13200.0,15000.0,2008-11-04
44,2009,199483.0,199483.0,0.0,2008-12-05
45,2009,412020.94,412020.94,528765.54,2008-12-10
46,2009,1877672.0,156666.67,0.0,2008-10-01
47,2009,1132956.51,1132956.51,1132956.51,2008-12-30
48,2009,2191.74,2191.74,2191.74,2008-11-10
49,2009,4962.67,4962.67,4962.67,2008-10-30
50,2009,4869780.16,4869780.16,4869780.16,2008-12-24
51,2009,799895.43,799895.43,799895.43,2008-12-29
52,2009,66170.0,66170.0,99255.0,2008-11-25
53,2009,13900669.1,13900669.1,13900669.1,2008-12-30
54,2009,0.0,0.0,0.0,2008-12-16
55,2009,4642590.72,4642590.72,0.0,2008-12-13
56,2009,79376.4,79376.4,247781.37,2008-10-31
57,2009,1006701.9,1006701.9,0.0,2008-12-13
58,2009,5506881.34,5506881.34,0.0,2008-12-13
