,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
0,2009,42154.72,42154.72,0.0,2009-03-31
1,2009,134675.25,134675.25,134675.25,2009-01-15
2,2009,327386.0,327386.0,327386.0,2009-04-30
3,2009,53284.0,53284.0,53284.0,2009-04-07
4,2009,240879.54,240879.54,240879.54,2009-03-11
5,2009,500000.0,500000.0,2530800.0,2009-09-15
6,2009,151584.0,151584.0,151584.0,2009-07-14
7,2009,2756.88,2756.88,2756.88,2009-03-16
8,2009,181855.0,181855.0,181855.0,2008-10-28
9,2009,1801981.64,1801981.64,1801981.64,2009-07-01
10,2009,427579.26,427579.26,427579.26,2009-09-18
11,2009,64292.8,64292.8,0.0,2009-06-17
12,2009,48460.5,48460.5,48460.5,2009-04-30
13,2009,199559.62,199559.62,199559.62,2009-06-12
14,2009,231949.19,231949.19,0.0,2009-09-01
15,2009,33150.0,33150.0,33150.0,2009-08-07
16,2009,716.03,716.03,716.03,2009-04-14
17,2009,46699.0,46699.0,46699.0,2009-03-11
18,2009,198255.93,198255.93,198255.93,2009-03-11
19,2009,286516.8,0.0,286516.8,2009-09-15
20,2009,548200.0,548200.0,548200.0,2009-05-27
21,2009,96480.0,96480.0,96480.0,2009-08-21
22,2009,18908.63,18908.63,18908.63,2009-09-16
23,2009,19088.25,19088.25,19088.25,2009-06-10
24,2009,31470.0,31470.0,31470.0,2009-05-05
25,2009,227048.0,227048.0,227048.0,2008-10-01
26,2009,98081.51,98081.51,0.0,2009-09-15
27,2009,935000.0,935000.0,935000.0,2009-07-28
28,2009,11226.98,11226.98,11226.98,2009-04-17
29,2009,149068.0,149068.0,149068.0,2009-07-30
30,2009,4428.0,4428.0,4428.0,2009-01-27
31,2009,1060000.0,1060000.0,1412618.0,2009-08-13
32,2009,150520.0,150520.0,150520.0,2009-08-19
33,2009,249757.0,249757.0,249757.0,2009-07-29
34,2009,4287563.88,4287563.88,4287563.88,2009-07-13
35,2009,190746.12,190746.12,190746.12,2009-07-14
36,2009,100012.24,100012.24,100012.24,2009-08-06
37,2009,213591.91,213591.91,213591.91,2009-03-30
38,2009,290000.0,290000.0,290000.0,2009-08-21
39,2009,243870.92,243870.92,243870.92,2009-09-05
40,2009,303422.8,303422.8,303422.8,2009-03-20
41,2009,9792.12,9792.12,9792.12,2009-01-16
42,2009,546078.0,546078.0,546078.0,2009-09-24
43,2009,29551.0,29551.0,29551.0,2009-01-13
44,2009,63250.0,63250.0,63250.0,2009-07-24
45,2009,3931.29,3931.29,3931.29,2009-06-09
46,2009,200000.0,200000.0,200000.0,2009-02-02
47,2009,225987.0,225987.0,225987.0,2009-08-28
48,2009,79180.0,79180.0,0.0,2009-06-16
49,2009,3709.65,3709.65,3709.65,2009-03-06
50,2009,15647.89,15647.89,15647.89,2009-01-27
51,2009,36000.0,36000.0,36000.0,2009-08-01
52,2009,218264.16,218264.16,218264.16,2009-05-27
53,2009,3522.87,3522.87,3522.87,2009-02-20
54,2009,11285.0,11285.0,11285.0,2009-02-18
55,2009,224998.4,224998.4,224998.4,2009-06-18
56,2009,39071.8,39071.8,39071.8,2009-03-31
57,2009,50558.22,50558.22,50558.22,2009-06-26
58,2009,198180.18,198180.18,198180.18,2009-09-10
59,2009,11029.57,11029.57,11029.57,2009-08-06
60,2009,780200.0,780200.0,2423476.75,2009-08-27
61,2009,1042814.16,1042814.16,3000000.0,2009-03-25
62,2009,1282192.0,1282192.0,2000000.0,2009-06-26
63,2009,127532.0,127532.0,0.0,2009-09-01
64,2009,1005508.46,1005508.46,1005508.46,2008-12-18
65,2009,4287025.56,1864088.0,8697741.96,2009-08-18
66,2009,201500.0,201500.0,201500.0,2009-08-22
67,2009,6464.79,6464.79,6464.79,2009-01-27
68,2009,6013.72,6013.72,6013.72,2009-03-04
69,2009,99000.0,99000.0,99000.0,2009-04-02
70,2009,3411876.16,3411876.16,5149647.54,2009-07-24
71,2009,1064061.2,1064061.2,2736671.35,2009-08-25
72,2009,233247.36,233247.36,233247.36,2008-10-23
73,2009,177000.0,177000.0,0.0,2009-08-31
74,2009,208498.0,208498.0,208498.0,2009-03-31
75,2009,350995.0,350995.0,350995.0,2009-01-07
76,2009,38754.0,38754.0,38754.0,2009-06-23
77,2009,3256.8,3256.8,3256.8,2009-07-22
78,2009,527168.88,527168.88,527168.88,2008-10-23
79,2009,732057.0,698665.31,0.0,2008-12-31
80,2009,97633.75,97633.75,0.0,2009-09-16
81,2009,46490.7,46490.7,46490.7,2009-08-06
82,2009,16426.08,16426.08,16426.08,2009-07-20
83,2009,254981.0,254981.0,254981.0,2009-07-09
84,2009,88120.8,88120.8,88120.8,2009-09-10
85,2009,811158.0,811158.0,811158.0,2008-10-31
86,2009,200000.0,200000.0,400000.0,2008-12-22
87,2009,287059.2,287059.2,606828.72,2009-02-03
88,2009,173264.0,173264.0,2175044.8,2009-09-22
89,2009,68640.0,68640.0,0.0,2009-06-16
90,2009,149775.0,149775.0,0.0,2009-09-01
91,2009,216200.0,216200.0,676800.0,2009-07-24
92,2009,124203.66,124203.66,124203.66,2009-06-24
93,2009,997772.06,997772.06,0.0,2009-09-15
94,2009,31424.89,31424.89,31424.89,2009-08-26
95,2009,63643.32,63643.32,256927.2,2009-05-31
96,2009,374246.0,374246.0,374246.0,2008-10-20
97,2009,101760.0,101760.0,101760.0,2009-09-21
98,2009,80792.0,80792.0,80792.0,2009-04-23
99,2009,2000000.0,2000000.0,2000000.0,2009-09-21
100,2009,160327.9,160327.9,160327.9,2009-08-10
101,2009,125621.6,125621.6,125621.6,2009-07-02
102,2009,95000000.0,54518.0,95000000.0,2008-11-18
103,2009,136544.0,136544.0,136544.0,2008-11-18
104,2009,820000.0,820000.0,820000.0,2008-10-30
105,2009,126492.42,126492.42,0.0,2009-03-19
106,2009,49973.35,49973.35,49973.35,2009-08-05
107,2009,96763.0,96763.0,96763.0,2008-12-11
108,2009,29759.17,29759.17,29759.17,2009-08-31
109,2009,720060.0,720060.0,1493960.0,2009-09-18
110,2009,375883.97,375883.97,375883.97,2009-07-24
111,2009,12693.31,12693.31,12693.31,2008-11-16
112,2009,6212.5,6212.5,6212.5,2009-09-11
113,2009,95000000.0,89672.0,95000000.0,2008-11-18
114,2009,188249.0,188249.0,188249.0,2009-09-22
115,2009,24903.8,24903.8,24903.8,2009-06-29
116,2009,45628.72,45628.72,45628.72,2009-05-05
117,2009,470972.0,470972.0,470972.0,2009-02-25
118,2009,13624.9,13624.9,13624.9,2008-12-09
119,2009,684904538.0,46000000.0,735794197.0,2009-05-27
120,2009,1347646.93,1347646.93,0.0,2009-09-14
121,2009,945266.17,945266.17,1033974.1,2009-09-02
122,2009,79801.54,79801.54,79801.54,2009-03-16
123,2009,201893.07,201893.07,409845.77,2009-09-17
124,2009,859865.0,859865.0,859865.0,2009-01-22
125,2009,341572.58,341572.58,341572.58,2009-09-22
126,2009,335935.09,335935.09,0.0,2009-07-08
127,2009,114098.0,114098.0,114098.0,2009-09-21
128,2009,33975.6,33975.6,33975.6,2008-10-22
129,2009,5000.0,5000.0,5000.0,2009-09-07
130,2009,2578915.68,2578915.68,2578915.68,2008-10-31
131,2009,85725.0,85725.0,0.0,2009-08-31
132,2009,500000.0,500000.0,500000.0,2009-09-29
133,2009,68049.01,68049.01,68049.01,2009-01-21
134,2009,1384756.86,1384756.86,4154270.58,2009-05-12
135,2009,337083.0,337083.0,337083.0,2009-09-12
136,2009,45000.0,20000.0,99594.79,2009-04-07
137,2009,6141.44,6141.44,6141.44,2009-07-01
138,2009,308169.0,308169.0,308169.0,2009-09-21
139,2009,777309.31,777309.31,777309.31,2009-04-30
140,2009,133562.38,133562.38,0.0,2009-06-03
141,2009,9310.55,9310.55,0.0,2009-07-13
