,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
0,2009,11883.9,11883.9,11883.9,2009-01-23
1,2009,0.0,0.0,0.0,2009-09-29
2,2009,34585.0,34585.0,34585.0,2009-08-05
3,2009,24999.0,24999.0,24999.0,2009-08-24
4,2009,80815.76,80815.76,80815.76,2008-11-17
5,2009,19970220.03,16395014.28,19970220.03,2009-04-20
6,2009,66019.02,66019.02,66019.02,2009-05-15
7,2009,552807.01,552807.01,552807.01,2008-10-02
8,2009,9900.0,9900.0,9900.0,2009-02-19
9,2009,344.25,344.25,344.25,2008-10-11
10,2009,1236342.0,1236342.0,1236342.0,2009-09-26
11,2009,20368.91,20368.91,20368.91,2009-06-12
12,2009,10563.5,10563.5,10563.5,2009-04-20
13,2009,61224.0,61224.0,61224.0,2008-10-01
14,2009,13800.0,13800.0,13800.0,2009-08-27
15,2009,4994.55,4994.55,4994.55,2009-08-19
16,2009,147780.0,147780.0,147780.0,2009-05-14
17,2009,24120.0,24120.0,24120.0,2009-05-01
18,2009,3238.07,3238.07,3238.07,2009-07-29
19,2009,5267.45,5267.45,5267.45,2009-05-04
20,2009,24292.55,24292.55,24292.55,2009-02-17
21,2009,118684.76,118684.76,118684.76,2009-09-28
22,2009,11426.0,11426.0,11426.0,2009-02-03
23,2009,5000.0,5000.0,5000.0,2008-12-30
24,2009,2083993.36,2083993.36,2083993.36,2009-09-24
25,2009,1116030.2,1116030.2,1116030.2,2009-04-24
26,2009,6335.0,6335.0,6335.0,2009-02-25
27,2009,20778.28,20778.28,20778.28,2009-09-22
28,2009,7338.94,7338.94,7338.94,2009-09-04
29,2009,1837984.0,307000.0,1837984.0,2009-03-31
30,2009,259052.89,259052.89,259052.89,2009-09-30
31,2009,10000.0,10000.0,10000.0,2009-09-14
32,2009,1112178.4,1112178.4,1112178.4,2009-09-03
33,2009,3200.0,3200.0,3200.0,2009-04-06
34,2009,35982.0,35982.0,35982.0,2009-08-15
35,2009,4371.28,4371.28,4371.28,2009-06-04
36,2009,6638.05,6638.05,6638.05,2009-04-29
37,2009,3800.0,3800.0,3800.0,2009-08-07
38,2009,675000.0,675000.0,675000.0,2009-09-25
39,2009,79760.0,79760.0,79760.0,2008-12-17
40,2009,93701.0,93701.0,93701.0,2009-04-16
41,2009,23300.0,23300.0,23300.0,2009-09-19
42,2009,148224.0,148224.0,148224.0,2009-09-27
43,2009,5821.2,5821.2,5821.2,2009-07-17
44,2009,7975.84,7975.84,7975.84,2009-09-10
45,2009,756924.0,756924.0,756924.0,2009-03-16
