,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
0,2009,11585.31,11585.31,11585.31,2009-06-06
1,2009,37173.96,37173.96,37173.96,2009-08-15
2,2009,149801.06,149801.06,149801.06,2009-08-15
3,2009,129888.19,129888.19,129888.19,2009-09-06
4,2009,4306938.21,4306938.21,4306938.21,2009-03-04
5,2009,213157.68,213157.68,213157.68,2009-09-14
6,2009,116057.07,116057.07,116057.07,2009-01-27
7,2009,788981.28,788981.28,788981.28,2009-09-04
8,2009,56616.95,56616.95,56616.95,2009-05-14
9,2009,314655.9,314655.9,314655.9,2009-06-02
10,2009,39194.4,39194.4,39194.4,2009-06-10
11,2009,190944.66,190944.66,190944.66,2009-01-26
12,2009,70287.96,70287.96,70287.96,2009-07-31
13,2009,216986.0,216986.0,216986.0,2009-06-24
14,2009,9763.1,9763.1,9763.1,2009-07-31
15,2009,101654.44,101654.44,101654.44,2009-05-14
16,2009,37173.96,37173.96,37173.96,2009-08-15
17,2009,50002.0,50002.0,50002.0,2009-05-11
18,2009,394750.0,394750.0,7287404.0,2009-06-11
19,2009,1679936.8,1679936.8,1679936.8,2009-08-25
20,2009,40817.52,40817.52,40817.52,2009-09-27
21,2009,68889.6,68889.6,0.0,2009-04-22
22,2009,81350.2,81350.2,81350.2,2009-07-01
23,2009,54730.14,54730.14,54730.14,2009-07-23
24,2009,12167634.92,12167634.92,12167634.92,2009-09-18
25,2009,1463867.2,1463867.2,1463867.2,2009-06-20
26,2009,596977.42,596977.42,596977.42,2009-09-02
27,2009,228261.07,228261.07,228261.07,2009-07-29
28,2009,34537.5,34537.5,34537.5,2009-06-05
29,2009,6356.82,6356.82,6356.82,2009-06-02
30,2009,137916.2,137916.2,137916.2,2009-09-01
31,2009,86566.43,86566.43,86566.43,2009-08-15
32,2009,384066.0,384066.0,384066.0,2009-09-15
33,2009,926429.78,926429.78,926429.78,2009-06-27
34,2009,34796.2,34796.2,34796.2,2009-09-28
35,2009,137522.49,137522.49,137522.49,2009-05-08
36,2009,60040.04,60040.04,60040.04,2009-09-06
37,2009,94169.09,94169.09,94169.09,2009-04-01
38,2009,450000.0,450000.0,450000.0,2009-09-28
39,2009,395288.42,172179.0,0.0,2009-09-16
40,2009,46390.2,46390.2,46390.2,2009-09-13
41,2009,410154.24,410154.24,410154.24,2009-02-27
42,2009,2521817.0,2521817.0,2521817.0,2009-09-10
43,2009,171649.0,171649.0,171649.0,2009-04-09
44,2009,26047.5,26047.5,26047.5,2009-03-17
45,2009,76259.28,72400.88,76259.28,2009-09-28
46,2009,4440682.0,4440682.0,4440682.0,2009-04-08
47,2009,114411.01,114411.01,114411.01,2009-05-18
48,2009,174720.0,174720.0,174720.0,2009-04-22
49,2009,51991.73,51991.73,51991.73,2009-08-15
50,2009,423045.95,423045.95,423045.95,2009-06-30
51,2009,23755.92,23755.92,0.0,2009-09-14
52,2009,288990.83,288990.83,288990.83,2009-09-02
53,2009,651667.87,651667.87,651667.87,2009-05-18
54,2009,75000.0,75000.0,75000.0,2009-04-27
55,2009,90000.0,90000.0,90000.0,2009-09-29
56,2009,63170.54,63170.54,63170.54,2009-06-30
57,2009,219000.0,219000.0,1207840.0,2009-09-25
58,2009,15144964.0,3268060.0,15144964.0,2009-08-28
59,2009,384853.28,384853.28,384853.28,2009-05-15
60,2009,329904.0,329904.0,0.0,2009-09-30
61,2009,688988.89,688988.89,688988.89,2009-09-23
62,2009,30968.59,30968.59,30968.59,2009-07-29
63,2009,128022.22,128022.22,128022.22,2009-09-14
64,2009,2065228.69,2065228.69,2065228.69,2009-08-14
65,2009,176610.0,176610.0,176610.0,2009-06-17
66,2009,28800.0,28800.0,28800.0,2009-02-24
67,2009,4416.16,4416.16,4416.16,2009-09-23
68,2009,145158.4,145158.4,145158.4,2009-07-23
69,2009,190.79,190.79,190.79,2009-04-16
70,2009,48070.68,48070.68,48070.68,2009-09-06
71,2009,108304.0,108304.0,108304.0,2009-09-04
72,2009,129000.0,129000.0,129000.0,2009-08-13
73,2009,6164157.92,6164157.92,6164157.92,2009-09-11
74,2009,1823.23,1823.23,1823.23,2009-09-06
75,2009,310029.28,310029.28,310029.28,2009-03-19
76,2009,222372.96,222372.96,222372.96,2009-09-12
77,2009,17719.68,17719.68,17719.68,2009-08-07
78,2009,40731.18,40731.18,40731.18,2009-07-13
79,2009,49899.91,49899.91,49899.91,2009-04-17
80,2009,1011933.12,1011933.12,1011933.12,2009-08-31
81,2009,186858.08,186858.08,186858.08,2009-08-20
82,2009,283922.05,283922.05,283922.05,2009-03-18
83,2009,60632.58,60632.58,60632.58,2009-08-17
84,2009,351861.4,351861.4,351861.4,2009-08-17
85,2009,49966.37,49966.37,49966.37,2009-05-22
86,2009,128321.96,128321.96,128321.96,2009-08-04
87,2009,51991.73,51991.73,51991.73,2009-08-15
88,2009,104052.03,104052.03,104052.03,2009-05-08
89,2009,3775.0,3775.0,3775.0,2009-07-21
90,2009,854351.03,854351.03,1168370.62,2009-08-31
91,2009,104772.22,104772.22,104772.22,2009-09-06
92,2009,9693630.0,9693630.0,9693630.0,2009-04-30
93,2009,909584.32,909584.32,909584.32,2009-04-29
94,2009,67082.4,67082.4,67082.4,2009-08-24
95,2009,1399098.84,1399098.84,1399098.84,2009-08-31
96,2009,483093.0,483093.0,483093.0,2009-07-27
97,2009,2171895.0,2171895.0,2171895.0,2009-06-19
98,2009,4000.0,4000.0,4000.0,2009-02-24
99,2009,379176.0,379176.0,0.0,2009-03-25
100,2009,32752.74,32752.74,32752.74,2009-04-07
101,2009,105906.63,105906.63,105906.63,2009-05-18
102,2009,36666.36,36666.36,36666.36,2009-09-17
103,2009,268751.2,268751.2,268751.2,2009-09-30
104,2009,121936.74,121936.74,121936.74,2009-05-28
105,2009,11714.08,11714.08,11714.08,2009-07-29
106,2009,434818.0,434818.0,434818.0,2009-08-07
107,2009,51309.42,51309.42,51309.42,2009-04-23
