,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
0,2009,144258.0,144258.0,144258.0,2009-03-12
1,2009,754.0,754.0,754.0,2008-10-03
2,2009,224820.0,224820.0,299880.0,2008-12-30
3,2009,2262.0,2262.0,2262.0,2008-10-08
4,2009,200.64,200.64,200.64,2008-10-13
5,2009,1510.0,1510.0,1510.0,2008-10-20
6,2009,1131.0,1131.0,1131.0,2008-11-06
7,2009,297892.26,297892.26,354000.4,2008-10-29
8,2009,754.0,754.0,754.0,2008-11-24
9,2009,265.0,265.0,265.0,2008-11-24
10,2009,377.5,377.5,377.5,2008-12-19
11,2009,101444.04,101444.04,101444.04,2008-11-06
12,2009,32357.99,32357.99,32357.99,2008-10-01
13,2009,1660.0,1660.0,1660.0,2008-10-07
14,2009,68667.0,68667.0,68667.0,2008-11-19
15,2009,141553.2,141553.2,141553.2,2008-12-28
16,2009,57859.2,57859.2,57859.2,2008-10-08
17,2009,498229.45,498229.45,498229.45,2008-12-01
18,2009,377.0,377.0,377.0,2008-10-17
19,2009,653569.67,653569.67,653569.67,2008-10-29
20,2009,3020.0,3020.0,3020.0,2008-12-18
21,2009,3020.0,3020.0,3020.0,2008-12-22
22,2009,332.0,332.0,332.0,2008-10-27
23,2009,1508.0,1508.0,1508.0,2008-10-02
24,2009,500.0,500.0,500.0,2008-11-28
25,2009,265.0,265.0,265.0,2008-11-18
26,2009,912156.76,912156.76,912156.76,2008-11-26
27,2009,1885.0,1885.0,1885.0,2008-11-25
28,2009,754.0,754.0,754.0,2008-10-17
29,2009,377.5,377.5,377.5,2008-12-04
30,2009,23495.1,23495.1,23495.1,2008-10-30
31,2009,1885.0,1885.0,1885.0,2008-12-22
32,2009,18778.35,18778.35,18778.35,2008-12-26
33,2009,55859.21,55859.21,55859.21,2008-11-07
34,2009,2262.0,2262.0,2262.0,2008-10-02
35,2009,755.0,755.0,755.0,2008-11-04
36,2009,2088.76,2088.76,2088.76,2008-12-17
37,2009,1010042.0,1010042.0,1623768.64,2008-12-08
38,2009,232410.28,232410.28,232410.28,2008-12-30
39,2009,255.36,255.36,255.36,2008-11-28
40,2009,104347.0,104347.0,104347.0,2008-10-20
41,2009,2650.0,2650.0,2650.0,2008-11-17
42,2009,15520.0,15520.0,15520.0,2008-11-04
43,2009,1540206.0,1540206.0,1540206.0,2008-12-22
44,2009,7550.0,7550.0,7550.0,2008-12-04
45,2009,2120.0,2120.0,2120.0,2008-10-20
46,2009,133912.0,133912.0,716770.77,2008-12-19
47,2009,7550.0,7550.0,7550.0,2008-12-09
48,2009,0.0,0.0,0.0,2008-11-14
49,2009,3361.28,3361.28,3361.28,2008-10-31
50,2009,754.0,754.0,754.0,2008-12-22
51,2009,795.0,795.0,795.0,2008-10-31
52,2009,130721.45,130721.45,130721.45,2008-11-07
53,2009,16275.0,16275.0,16275.0,2008-10-23
54,2009,95500.63,95500.63,95500.63,2008-10-30
55,2009,377.5,377.5,377.5,2008-10-09
56,2009,1131.0,1131.0,1131.0,2008-12-18
57,2009,140000.0,140000.0,140000.0,2008-10-16
58,2009,389.27,389.27,389.27,2008-10-07
59,2009,754.0,754.0,754.0,2008-11-07
60,2009,110767.0,110767.0,110767.0,2008-11-12
61,2009,192423.42,192423.42,192423.42,2008-12-24
62,2009,107241.28,107241.28,107241.28,2008-11-04
63,2009,699609.28,699609.28,2169449.28,2008-12-10
64,2009,3975.0,3975.0,3975.0,2008-10-29
65,2009,1885.0,1885.0,1885.0,2008-10-02
66,2009,30438.1,30438.1,30438.1,2008-11-04
67,2009,5846.35,5846.35,18430.6,2008-12-31
68,2009,349898.48,349898.48,349898.48,2008-10-10
69,2009,4147.0,4147.0,4147.0,2008-10-22
70,2009,377.0,377.0,377.0,2008-12-19
71,2009,754.0,754.0,754.0,2008-12-29
72,2009,530.0,530.0,530.0,2008-11-19
73,2009,2120.0,2120.0,2120.0,2008-12-22
74,2009,1132.5,1132.5,1132.5,2008-11-24
75,2009,1508.0,1508.0,1508.0,2008-10-02
76,2009,265.0,265.0,265.0,2008-12-16
77,2009,9959.4,9959.4,9959.4,2008-10-14
78,2009,377.0,377.0,377.0,2008-12-02
79,2009,1590.0,1590.0,1590.0,2008-12-18
80,2009,263375.6,263375.6,263375.6,2008-11-06
81,2009,377.0,377.0,377.0,2008-11-14
82,2009,332.0,332.0,332.0,2008-10-03
83,2009,377.0,377.0,377.0,2008-11-10
84,2009,1132.5,1132.5,1132.5,2008-12-22
85,2009,265.0,265.0,265.0,2008-12-09
86,2009,1131.0,1131.0,1131.0,2008-12-31
87,2009,163508.3,163508.3,0.0,2008-10-17
88,2009,2650.0,2650.0,2650.0,2008-11-18
89,2009,377.5,377.5,377.5,2008-11-17
90,2009,17914.85,17914.85,17914.85,2008-11-04
91,2009,106158.78,106158.78,106158.78,2008-11-05
92,2009,43304.73,43304.73,43304.73,2008-11-07
93,2009,377.0,377.0,377.0,2008-12-22
94,2009,499893.23,499893.23,499893.23,2008-12-29
95,2009,3397.5,3397.5,3397.5,2008-12-19
96,2009,33877.31,33877.31,33877.31,2008-12-11
97,2009,32667.01,32667.01,32667.01,2008-12-12
98,2009,165722.25,165722.25,165722.25,2008-10-28
99,2009,24890.92,24890.92,24890.92,2008-10-21
100,2009,265.0,265.0,265.0,2008-12-17
101,2009,377.0,377.0,377.0,2008-12-24
102,2009,2265.0,2265.0,2265.0,2008-11-24
103,2009,1964.04,1964.04,1964.04,2008-11-04
104,2009,612211.0,44653.63,612211.0,2008-10-31
105,2009,1132.5,1132.5,1132.5,2008-11-28
106,2009,755.0,755.0,755.0,2008-10-31
107,2009,1887.5,1887.5,1887.5,2008-11-21
108,2009,23460.0,23460.0,23460.0,2008-12-02
109,2009,754.0,754.0,754.0,2008-10-13
110,2009,265584.0,265584.0,265584.0,2008-11-20
111,2009,2799.66,2799.66,2799.66,2008-11-14
112,2009,20673.66,20673.66,20673.66,2008-10-28
113,2009,530.0,530.0,530.0,2008-12-19
114,2009,1510.0,1510.0,1510.0,2008-10-07
115,2009,447826.8,447826.8,447826.8,2008-11-24
116,2009,300000.0,300000.0,300000.0,2008-12-05
117,2009,265.0,265.0,265.0,2008-11-26
118,2009,37750.0,37750.0,37750.0,2008-12-18
119,2009,377.5,377.5,377.5,2008-10-10
120,2009,1705.5,1705.5,1705.5,2008-10-20
121,2009,4152.5,4152.5,4152.5,2008-12-24
122,2009,754.0,754.0,754.0,2008-11-07
123,2009,530.0,530.0,530.0,2008-12-04
124,2009,377.0,377.0,377.0,2008-10-02
125,2009,1508.0,1508.0,1508.0,2008-12-22
126,2009,1885.0,1885.0,1885.0,2008-11-19
127,2009,19047.62,19047.62,19047.62,2008-12-17
128,2009,14423.08,14423.08,53739.0,2008-10-03
129,2009,1887.5,1887.5,1887.5,2008-10-02
130,2009,90.68,90.68,90.68,2008-11-28
131,2009,1491072.04,480769.23,10309568.12,2008-10-09
132,2009,68983.7,68983.7,0.0,2008-11-07
133,2009,26251.0,26251.0,51251.0,2008-12-31
134,2009,3975.0,3975.0,3975.0,2008-10-02
135,2009,377.5,377.5,377.5,2008-11-24
136,2009,2120.0,2120.0,2120.0,2008-12-18
137,2009,4152.5,4152.5,4152.5,2008-11-28
138,2009,241738.91,241738.91,241738.91,2008-12-05
139,2009,530.0,530.0,530.0,2008-12-29
140,2009,3031.73,3031.73,3031.73,2008-12-24
141,2009,156340.0,156340.0,156340.0,2008-12-23
142,2009,332.0,332.0,332.0,2008-10-22
143,2009,4530.0,4530.0,4530.0,2008-11-24
144,2009,1333097.0,500000.0,6715330.0,2008-12-09
145,2009,125970.9,125970.9,125970.9,2008-11-20
146,2009,104485.7,104485.7,0.0,2008-10-29
147,2009,178717.31,178717.31,178717.31,2008-12-22
148,2009,3775.0,3775.0,3775.0,2008-11-18
149,2009,265.0,265.0,265.0,2008-11-17
150,2009,2784.0,2784.0,2784.0,2008-11-06
151,2009,377.5,377.5,377.5,2008-11-26
152,2009,377.5,377.5,377.5,2008-12-24
153,2009,1636.7,1636.7,1636.7,2008-11-05
154,2009,1060.0,1060.0,1060.0,2008-12-24
155,2009,1613214.24,446889.95,1613214.24,2008-12-30
156,2009,377.5,377.5,377.5,2008-11-19
157,2009,332.0,332.0,332.0,2008-10-03
158,2009,1979.0,1979.0,1979.0,2009-03-27
159,2009,3207.0,3207.0,19246.8,2008-12-26
160,2009,377.0,377.0,377.0,2008-11-19
161,2009,377.5,377.5,377.5,2008-11-17
162,2009,192771.08,192771.08,892457.6,2008-12-29
163,2009,377.5,377.5,377.5,2008-11-26
164,2009,1508.0,1508.0,1508.0,2008-11-14
165,2009,377.5,377.5,377.5,2008-11-05
166,2009,377.5,377.5,377.5,2008-10-13
167,2009,377.0,377.0,377.0,2008-12-30
168,2009,682140.22,682140.22,2997863.58,2008-10-21
169,2009,754.0,754.0,754.0,2008-12-03
170,2009,419387.8,419387.8,1205555.03,2008-10-28
171,2009,3382.17,3382.17,3382.17,2008-10-30
172,2009,76994.0,76994.0,392977.0,2008-12-22
173,2009,1887.5,1887.5,1887.5,2008-12-12
174,2009,332.0,332.0,332.0,2008-11-19
175,2009,1992.0,1992.0,1992.0,2008-11-25
176,2009,37155.07,37155.07,37155.07,2008-12-27
177,2009,755.0,755.0,755.0,2008-12-04
178,2009,3020.0,3020.0,3020.0,2008-10-03
179,2009,49125.0,49125.0,49125.0,2009-03-19
180,2009,265.0,265.0,265.0,2008-11-24
181,2009,4152.5,4152.5,4152.5,2008-10-03
182,2009,11325.0,11325.0,11325.0,2008-11-19
183,2009,19755.0,0.0,19755.0,2008-10-28
184,2009,2914613.12,2818737.86,2914613.12,2008-12-15
185,2009,4147.0,4147.0,4147.0,2008-10-27
186,2009,1508.0,1508.0,1508.0,2008-10-02
187,2009,332.0,332.0,332.0,2008-12-30
188,2009,1970768.22,1970768.22,1970768.22,2008-12-18
189,2009,3770.0,3770.0,3770.0,2008-10-20
190,2009,379787.18,379787.18,379787.18,2008-10-22
191,2009,377.0,377.0,377.0,2008-12-22
192,2009,1961.53,1961.53,1961.53,2008-10-29
193,2009,169762.14,169762.14,169762.14,2008-10-29
194,2009,908592.0,908592.0,908592.0,2008-11-21
195,2009,27678.66,27678.66,27678.66,2008-10-30
196,2009,377.0,377.0,377.0,2008-11-25
197,2009,12744.66,12744.66,12744.66,2008-12-26
198,2009,377.0,377.0,377.0,2008-12-03
199,2009,332.0,332.0,332.0,2008-10-10
200,2009,1131.0,1131.0,1131.0,2008-10-28
