,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
0,2009,17034.64,17034.64,17034.64,2009-09-30
1,2009,74900.0,74900.0,74900.0,2009-04-24
2,2009,3220372.0,3220372.0,16279920.0,2009-09-15
3,2009,2643.12,2643.12,2643.12,2009-06-12
4,2009,105992.88,105992.88,105992.88,2009-09-25
5,2009,24390466.0,7820791.0,60841869.0,2009-01-30
6,2009,12168.0,12168.0,12168.0,2009-04-10
7,2009,2197955.0,2197955.0,8022160.0,2009-06-12
8,2009,7867.85,7867.85,7867.85,2009-06-12
9,2009,209809.0,209809.0,1555233.0,2009-07-14
10,2009,0.0,0.0,0.0,2009-01-14
11,2009,4500000.0,4500000.0,100500000.0,2009-08-11
12,2009,4392427.0,4392427.0,5501516.0,2009-09-28
13,2009,2449599.3,2449599.3,2449599.3,2009-09-30
14,2009,12199.2,12199.2,12199.2,2008-11-17
15,2009,74980.0,74980.0,74980.0,2009-09-19
16,2009,17817433.0,15000000.0,17817433.0,2008-11-07
17,2009,41800.0,41800.0,0.0,2009-07-08
18,2009,3258699.0,3258699.0,3258699.0,2009-03-23
19,2009,2819562.0,2819562.0,45190524.0,2009-09-30
20,2009,619824.0,619824.0,3314528.0,2009-07-28
21,2009,411359.0,411359.0,411359.0,2009-09-18
22,2009,1028829.0,1028829.0,1947089.0,2009-09-15
23,2009,490515.28,490515.28,490515.28,2009-09-28
24,2009,303606.0,303606.0,303606.0,2009-04-30
25,2009,9189.0,9189.0,9189.0,2009-01-23
26,2009,215000.0,215000.0,215000.0,2009-06-03
27,2009,29897.0,29897.0,29897.0,2009-09-28
28,2009,1125722.0,1125722.0,1125722.0,2009-05-21
29,2009,43070.64,43070.64,43070.64,2009-04-28
30,2009,1089781.0,1089781.0,5662935.0,2009-08-17
31,2009,482158.08,482158.08,482158.08,2009-09-28
32,2009,39219.9,39219.9,39219.9,2009-08-07
33,2009,106593.54,106593.54,106593.54,2009-09-22
34,2009,141731.8,141731.8,141731.8,2009-02-26
35,2009,2273770.88,2112012.46,2273770.88,2009-09-17
36,2009,30000.0,30000.0,30000.0,2009-08-19
37,2009,4654.44,4654.44,4654.44,2009-09-18
38,2009,3135906.0,3135906.0,3135906.0,2009-04-09
39,2009,200595.0,200595.0,200595.0,2009-01-09
40,2009,292044.69,292044.69,593628.15,2009-09-01
41,2009,967768.0,967768.0,5054746.0,2008-12-23
42,2009,264011.0,264011.0,264011.0,2009-02-03
43,2009,50000.0,50000.0,50000.0,2009-09-18
44,2009,614890.56,614890.56,3894382.21,2009-09-10
