,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
0,2009,258915.21,258915.21,258915.21,2009-04-16
1,2009,678374.71,678374.71,678374.71,2009-09-19
2,2009,150000.0,150000.0,0.0,2008-10-22
3,2009,768956.68,768956.68,768956.68,2009-08-04
4,2009,12608.2,12608.2,12608.2,2009-09-29
5,2009,1485823.1,1485823.1,0.0,2008-10-01
6,2009,60931.74,60931.74,60931.74,2009-04-16
7,2009,122650.51,122650.51,122650.51,2009-09-20
8,2009,3965.68,3965.68,3965.68,2009-09-18
9,2009,150000.0,150000.0,150000.0,2009-08-04
10,2009,1759748.0,397002.4,1759748.0,2009-06-23
11,2009,485654.24,485654.24,485654.24,2009-07-23
12,2009,17059.03,17059.03,17059.03,2009-03-06
13,2009,233026.0,233026.0,233026.0,2009-09-18
14,2009,4808.48,4808.48,4808.48,2009-09-29
15,2009,405807.4,144255.82,405807.4,2009-09-20
16,2009,349943.0,349943.0,349943.0,2009-06-25
17,2009,0.0,0.0,0.0,2009-09-30
18,2009,55805.25,55805.25,279026.25,2009-09-14
19,2009,195000.0,195000.0,967000.0,2009-06-30
20,2009,209418.2,209418.2,209418.2,2009-09-17
21,2009,241474.8,241474.8,241474.8,2009-09-18
22,2009,269287.7,50000.0,269287.7,2009-09-21
23,2009,36429.0,36429.0,36429.0,2009-03-20
24,2009,271183.0,271183.0,1317067.0,2009-09-21
25,2009,400000.0,400000.0,0.0,2009-06-25
26,2009,161058.4,161058.4,161058.4,2009-09-15
27,2009,189238.46,189238.46,189238.46,2009-09-21
28,2010,303139.31,303139.31,303139.31,2010-09-16
29,2010,240000.0,240000.0,1274193.0,2009-12-30
30,2010,44000.39,44000.39,44000.39,2010-06-07
31,2010,826836.0,826836.0,826836.0,2010-09-15
32,2010,397600.8,397600.8,397600.8,2010-08-05
33,2010,199958.0,199958.0,199958.0,2010-08-25
34,2010,64075.0,64075.0,64075.0,2010-06-10
35,2011,193152.58,193152.58,386305.16,2010-12-21
36,2011,514274.79,514274.79,514274.79,2011-07-11
37,2011,2829611.15,2829611.15,2829611.15,2011-08-17
38,2011,5600.0,5600.0,5600.0,2011-06-29
39,2011,1617199.12,1617199.12,1617199.12,2011-09-21
40,2011,281179.6,281179.6,281179.6,2011-03-30
41,2011,9900.0,9900.0,9900.0,2011-04-04
42,2011,830.0,830.0,830.0,2010-10-29
43,2012,1496949.6,1496949.6,1496949.6,2012-09-26
44,2012,349750.0,349750.0,1393400.0,2012-07-03
45,2012,3635.52,3635.52,3635.52,2012-02-29
46,2012,200124.95,200124.95,200124.95,2012-06-05
47,2013,0.0,0.0,0.01,2013-09-21
48,2013,0.0,0.0,0.01,2013-09-21
49,2013,0.0,0.0,0.01,2013-09-21
50,2013,200000.0,200000.0,200000.0,2013-09-20
51,2013,0.0,0.0,0.01,2013-09-21
52,2013,460000.0,460000.0,460000.0,2013-09-23
53,2013,0.0,0.0,0.01,2013-09-21
54,2013,23478.0,23478.0,23478.0,2013-01-09
55,2013,6650.0,6650.0,6650.0,2013-08-08
56,2013,101500.0,101500.0,101500.0,2013-08-17
57,2013,0.0,0.0,0.01,2013-09-21
58,2014,5209876.43,5209876.43,5209876.43,2014-09-18
59,2014,499144.7,499144.7,499144.7,2014-09-23
60,2014,100000.0,100000.0,427185.0,2014-09-08
61,2015,58268.0,58268.0,291340.0,2015-07-09
62,2015,3244659.0,3244659.0,8336480.0,2015-06-26
63,2015,939289.52,939289.52,939289.52,2015-07-10
64,2015,1507800.0,1507800.0,6225720.0,2015-08-31
65,2015,210917.93,210917.93,210917.93,2015-03-10
66,2016,6124142.25,6124142.25,6927643.31,2016-09-28
67,2016,5941845.79,5941845.79,19540168.93,2016-09-28
68,2016,27675006.0,27675006.0,255241182.0,2016-01-25
