,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
0,2009,43810.4,43810.4,43810.4,2009-08-26
1,2009,1072128.0,1072128.0,1072128.0,2009-06-10
2,2009,493186.15,493186.15,493186.15,2009-03-20
3,2009,65722.44,65722.44,65722.44,2009-03-18
4,2009,13153.0,13153.0,13153.0,2008-12-10
5,2009,175108.8,175108.8,175108.8,2009-09-16
6,2009,93400.0,93400.0,0.0,2008-11-26
7,2009,593759.29,593759.29,593759.29,2009-07-01
8,2009,244313.0,244313.0,244313.0,2009-07-15
9,2009,17079.64,17079.64,17079.64,2009-08-19
10,2009,8459842.95,8459842.95,8459842.95,2009-04-10
11,2009,13051.84,13051.84,13051.84,2009-05-20
12,2009,29863.44,29863.44,29863.44,2009-01-23
13,2009,99129.93,99129.93,99129.93,2009-09-28
14,2009,126305.07,126305.07,126305.07,2009-08-29
15,2009,50332.2,50332.2,50332.2,2009-09-21
16,2009,745831.5,745831.5,745831.5,2009-05-01
17,2009,149810.6,149810.6,149810.6,2009-09-09
18,2009,56873.44,56873.44,56873.44,2009-09-30
19,2009,55993.94,55993.94,55993.94,2009-07-17
20,2009,23813.66,23813.66,23813.66,2009-08-31
21,2009,435883.05,435883.05,435883.05,2009-05-19
22,2009,29047.0,29047.0,29047.0,2009-06-25
23,2009,195422.16,195422.16,195422.16,2009-09-09
24,2009,2205.0,2205.0,2205.0,2008-10-16
25,2009,20960.0,20960.0,0.0,2009-08-31
26,2009,8089386.74,2595335.2,8089386.74,2009-09-30
27,2009,136370.11,136370.11,136370.11,2008-10-30
28,2009,2492068.08,2492068.08,4352773.62,2009-09-01
29,2009,95500.0,95500.0,95500.0,2009-04-29
30,2009,540335.0,540335.0,540335.0,2009-02-27
31,2009,328013.68,328013.68,0.0,2009-04-24
32,2009,69750.0,69750.0,69750.0,2009-05-29
33,2009,4598685.0,4598685.0,4598685.0,2009-05-01
34,2009,190791.0,182750.0,190791.0,2009-06-15
35,2009,5744000.0,5744000.0,0.0,2008-10-06
36,2009,1400000.0,1400000.0,1400000.0,2008-12-24
37,2009,8090.0,8090.0,8090.0,2008-12-23
38,2009,1050331.45,1050331.45,1050331.45,2008-12-31
39,2009,2190585.22,2190585.22,2190585.22,2008-10-01
40,2009,582448.0,582448.0,582448.0,2008-11-21
41,2009,619590.0,619590.0,619590.0,2008-11-20
42,2009,78764.0,78764.0,78764.0,2009-09-17
43,2009,7080.0,7080.0,7080.0,2008-10-01
44,2009,5000.0,5000.0,5000.0,2008-12-22
45,2009,19578.0,19578.0,19578.0,2009-03-09
46,2009,199727.5,199727.5,199727.5,2008-12-19
47,2009,49879.65,49879.65,49879.65,2009-01-05
48,2009,88745.25,88745.25,88745.25,2009-08-31
49,2009,42587.2,42587.2,42587.2,2008-12-29
50,2009,1426.92,1426.92,1426.92,2009-05-04
51,2009,243552.0,243552.0,243552.0,2008-12-09
52,2009,8970.0,8970.0,8970.0,2009-04-15
53,2009,881244.0,881244.0,881244.0,2009-08-21
54,2009,86927.0,86927.0,0.0,2009-07-17
55,2009,35430.1,35430.1,35430.1,2009-06-29
56,2009,5991.81,5991.81,5991.81,2009-04-10
57,2009,32640.0,32640.0,32640.0,2008-10-10
58,2009,469813.0,469813.0,469813.0,2009-08-14
59,2009,80134.0,80134.0,80134.0,2009-03-11
60,2009,359484.8,359484.8,359484.8,2009-09-08
61,2009,8139285.55,8139285.55,44419269.55,2008-12-31
62,2009,11659928.96,11659928.96,12659928.96,2009-09-29
63,2009,202329.87,202329.87,202329.87,2009-02-19
64,2009,7576.85,7576.85,7576.85,2009-05-19
65,2009,12026749.0,12026749.0,12026749.0,2008-10-01
66,2009,9754.2,9754.2,9754.2,2009-08-25
67,2009,298650.0,298650.0,298650.0,2009-09-30
68,2009,93707.32,93707.32,93707.32,2008-12-01
69,2009,170929.71,170929.71,982972.17,2008-12-22
70,2009,11308.86,11308.86,11308.86,2009-07-30
71,2009,317000.0,317000.0,317000.0,2009-09-16
72,2009,790800.0,780800.0,1390661.0,2009-02-24
73,2009,14055.41,14055.41,14055.41,2008-11-25
74,2009,80479.58,80479.58,80479.58,2009-09-30
75,2009,10297.61,10297.61,10297.61,2009-09-03
76,2009,55310.08,55310.08,55310.08,2009-08-31
77,2009,19909.0,19909.0,19909.0,2008-12-22
78,2009,1240.0,1240.0,1240.0,2009-01-23
79,2009,254730.0,254730.0,254730.0,2008-11-14
80,2009,2229146.8,2229146.8,2229146.8,2008-10-01
81,2009,44904.49,44904.49,0.0,2009-05-15
82,2009,20000.0,20000.0,20000.0,2009-09-22
83,2009,1100.0,1100.0,1100.0,2008-10-01
84,2009,180079.5,180079.5,180079.5,2008-10-01
85,2009,1527385.0,1527385.0,1527385.0,2008-12-05
86,2009,116455.68,116455.68,116455.68,2009-09-10
87,2009,479970.48,479970.48,479970.48,2009-08-11
88,2009,346673.0,346673.0,346673.0,2009-08-26
89,2009,389331.0,389331.0,0.0,2009-03-31
90,2009,12707.23,12707.23,12707.23,2009-09-02
91,2009,2166989.6,2166989.6,2166989.6,2009-07-30
92,2009,31500.0,31500.0,31500.0,2009-07-15
93,2009,84089.71,84089.71,84089.71,2009-09-23
94,2009,260652.04,260652.04,260652.04,2009-09-29
95,2009,613208.0,613208.0,2928418.0,2008-10-01
96,2009,10706.5,10706.5,42826.0,2009-06-23
97,2009,11659928.96,11659928.96,11659928.96,2009-09-21
98,2009,44075.22,44075.22,44075.22,2009-06-09
99,2009,1986753.0,1986753.0,24336322.0,2009-05-21
100,2009,59750.0,59750.0,59750.0,2009-08-29
101,2009,125921.02,125921.02,125921.02,2009-09-30
102,2009,121674.08,121674.08,121674.08,2009-07-10
103,2009,55769.31,55769.31,336736.65,2009-09-30
104,2009,888000.0,888000.0,888000.0,2008-12-24
105,2009,115522.56,115522.56,115522.56,2008-10-16
106,2009,53012.36,53012.36,53012.36,2009-06-17
107,2009,2942078.0,2942078.0,2942078.0,2008-10-01
108,2009,3351932.8,3351932.8,3351932.8,2009-09-29
109,2009,310912.8,310912.8,310912.8,2009-07-10
110,2009,193751.32,193751.32,193751.32,2009-06-08
111,2009,6450.0,6450.0,6450.0,2009-05-18
