,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
0,2009,854883.0,0.0,0.0,2009-09-25
1,2009,0.0,0.0,0.0,2009-09-21
2,2009,25000.0,25000.0,25000.0,2009-09-23
3,2009,94520.0,94520.0,94520.0,2009-06-09
4,2009,983212.8,983212.8,4292834.2,2009-05-05
5,2009,21608.2,21608.2,21608.2,2009-04-27
6,2009,29992.9,29992.9,29992.9,2009-09-30
7,2009,7031.44,7031.44,0.0,2009-08-28
8,2009,160520.0,160520.0,160520.0,2009-04-01
9,2009,9742.32,9742.32,0.0,2009-09-30
10,2009,17000.0,17000.0,17000.0,2009-09-23
11,2009,2034.65,2034.65,2034.65,2009-07-06
12,2009,1613988.0,1613988.0,0.0,2009-06-03
13,2009,130000.0,130000.0,0.0,2009-01-28
14,2009,40792.48,40792.48,40792.48,2009-05-26
15,2009,10120.6,10120.6,0.0,2009-09-18
16,2009,44126.0,44126.0,44126.0,2009-04-03
17,2009,18819.94,18819.94,0.0,2009-06-18
18,2009,2127174.06,2127174.06,2127174.06,2009-09-17
19,2009,53430.0,53430.0,53430.0,2009-06-19
20,2009,11483.85,11483.85,11483.85,2009-05-01
21,2009,152504.0,152504.0,152504.0,2009-08-04
22,2009,51142.6,51142.6,0.0,2009-03-23
23,2009,5560.0,5560.0,5560.0,2009-06-03
24,2009,3027.0,3027.0,3027.0,2009-09-03
25,2009,38667.38,38667.38,0.0,2009-04-27
26,2009,29553.0,29553.0,29553.0,2009-09-11
27,2009,15313.89,15313.89,15313.89,2009-08-31
28,2009,31289.58,31289.58,31289.58,2009-09-01
29,2009,31704.0,31704.0,31704.0,2009-09-25
30,2009,325000.0,325000.0,325000.0,2009-09-16
31,2009,42528.13,42528.13,42528.13,2009-02-10
32,2009,151303.33,151303.33,151303.33,2009-09-01
33,2009,133635.97,133635.97,133635.97,2009-01-26
34,2009,981000.0,981000.0,981000.0,2009-09-29
35,2009,276414.0,276414.0,0.0,2009-06-19
36,2009,187638.73,187638.73,187638.73,2009-09-11
37,2009,13245.76,13245.76,0.0,2009-02-20
38,2009,28071.16,28071.16,28071.16,2009-07-22
39,2009,13782.24,13782.24,0.0,2008-11-19
40,2009,802814.75,802814.75,802814.75,2008-12-31
41,2009,34379.91,34379.91,34379.91,2009-08-27
42,2009,14024.8,14024.8,14024.8,2009-08-24
43,2009,450000.0,450000.0,450000.0,2009-03-30
44,2009,18736.37,18736.37,18736.37,2009-09-19
45,2009,667231.92,667231.92,667231.92,2009-09-25
46,2009,7231.91,7231.91,7231.91,2009-07-06
47,2009,151042.6,0.0,447786.4,2008-10-01
48,2009,7983.86,7983.86,7983.86,2009-05-29
49,2009,39663.47,39663.47,39663.47,2009-01-21
50,2009,42895.36,42895.36,42895.36,2008-11-04
51,2009,6839.25,6839.25,0.0,2009-05-21
52,2009,17969.2,17969.2,0.0,2009-03-18
53,2009,136868.73,136868.73,0.0,2009-06-29
54,2009,3719123.82,3719123.82,0.0,2009-07-14
55,2009,717313.06,717313.06,717313.06,2009-09-20
56,2009,35478.0,35478.0,35478.0,2009-09-08
57,2009,93996.54,93996.54,93996.54,2009-07-08
58,2009,12479.02,12479.02,12479.02,2009-02-23
59,2009,118350.0,50890.5,118350.0,2008-10-23
60,2009,13182.79,13182.79,0.0,2009-08-07
61,2009,39400.0,39400.0,39400.0,2009-09-09
62,2009,5235.85,5235.85,5235.85,2009-06-17
63,2009,9274.35,9274.35,0.0,2009-09-18
64,2009,2760638.0,2760638.0,2760638.0,2009-08-27
65,2009,607463.79,607463.79,607463.79,2009-07-09
66,2009,3338.72,3338.72,3338.72,2009-06-26
67,2009,23000.0,23000.0,0.0,2009-04-03
68,2009,0.0,0.0,0.0,2009-07-15
69,2009,24516.0,24516.0,0.0,2009-01-27
70,2009,290452.02,290452.02,290452.02,2009-09-22
71,2009,21878.88,21878.88,21878.88,2008-12-09
72,2009,65360.0,65360.0,65360.0,2008-12-16
73,2009,78006.61,78006.61,78006.61,2008-12-18
74,2009,172832.6,172832.6,172832.6,2008-12-23
75,2009,2079578.91,2079578.91,2079578.91,2008-12-24
76,2009,3476.0,3476.0,3476.0,2008-12-10
77,2009,73720.44,73720.44,73720.44,2008-12-18
78,2009,402749.17,402749.17,402749.17,2008-12-22
79,2009,998000.0,998000.0,998000.0,2008-10-23
80,2009,2490.51,2490.51,2490.51,2008-10-31
81,2009,76482.6,76482.6,76482.6,2008-10-01
82,2009,61216.0,61216.0,61216.0,2008-12-11
83,2009,7200.0,7200.0,7200.0,2008-11-13
84,2009,17796.44,17796.44,17796.44,2008-12-16
85,2009,115880.0,115880.0,115880.0,2008-10-23
86,2009,104953.43,104953.43,104953.43,2008-12-04
87,2009,36478.83,36478.83,36478.83,2008-12-09
88,2009,29170.0,29170.0,29170.0,2008-11-05
89,2009,7800.0,7800.0,7800.0,2008-10-01
90,2009,20625.0,20625.0,20625.0,2008-11-19
91,2009,36961.53,36961.53,36961.53,2008-10-24
92,2009,5760.0,5760.0,5760.0,2008-12-17
93,2009,2406019.02,2406019.02,0.0,2008-10-31
94,2009,35400.0,35400.0,35400.0,2008-12-05
95,2009,880516.0,880516.0,880516.0,2008-11-19
