,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
0,2009,4515.32,4515.32,4515.32,2009-02-23
1,2009,25231.8,25231.8,25231.8,2008-10-23
2,2009,682979.68,682979.68,682979.68,2008-10-01
3,2009,9313333.92,9313333.92,9313333.92,2008-10-01
4,2009,345000.0,345000.0,345000.0,2008-10-01
5,2009,26488.94,26488.94,26488.94,2008-12-31
6,2009,219000.0,219000.0,1088307.0,2008-12-12
7,2009,699270.4,699270.4,699270.4,2008-10-01
8,2009,3151.92,3151.92,3151.92,2008-10-01
9,2009,40000.0,40000.0,40000.0,2008-10-01
10,2009,387813.0,387813.0,387813.0,2008-10-01
11,2009,1502564.04,1502564.04,1502564.04,2008-10-01
12,2009,106828.0,106828.0,106828.0,2008-10-15
13,2009,84826.56,84826.56,84826.56,2008-11-16
14,2009,52657.54,52657.54,52657.54,2008-10-23
15,2009,240000.0,240000.0,240000.0,2008-10-01
16,2009,589044.72,589044.72,0.0,2008-11-10
17,2009,388398.01,388398.01,388398.01,2008-12-05
18,2009,27420.0,27420.0,27420.0,2008-12-23
19,2009,750308.64,750308.64,750308.64,2008-10-01
20,2009,10600.0,10600.0,10600.0,2008-10-14
21,2009,35367.2,35367.2,35367.2,2008-12-09
22,2009,124181.18,124181.18,124181.18,2008-10-01
23,2009,12868.06,12868.06,12868.06,2008-11-24
24,2009,450.0,450.0,450.0,2008-10-17
25,2009,20610.44,20610.44,20610.44,2008-10-15
26,2009,256736.89,256736.89,256736.89,2008-11-24
27,2009,291588.0,291588.0,291588.0,2008-10-01
28,2009,222737.26,222737.26,222737.26,2008-11-24
29,2009,28125.0,28125.0,28125.0,2008-10-30
30,2009,423336.0,423336.0,2295336.0,2008-10-01
31,2009,1165679.0,1165679.0,1780991.26,2008-10-01
32,2009,134285.72,134285.72,134285.72,2008-10-01
33,2009,13666.96,13666.96,13666.96,2008-12-11
34,2009,1622171.0,1622171.0,1622171.0,2008-11-18
35,2009,510123.0,510123.0,510123.0,2008-12-10
36,2009,182843.43,182843.43,182843.43,2008-12-04
37,2009,4200.0,4200.0,4200.0,2008-10-01
38,2009,3343964.88,3343964.88,3343964.88,2008-11-19
39,2009,29897.52,29897.52,29897.52,2008-10-28
40,2009,4178795.98,4178795.98,9878729.34,2008-11-25
41,2009,833733.0,833733.0,833733.0,2008-10-10
42,2009,123699.56,123699.56,123699.56,2008-11-24
43,2009,435628.0,435628.0,435628.0,2008-10-01
44,2009,7640.82,7640.82,7640.82,2008-12-19
45,2009,4950.0,4950.0,4950.0,2008-10-31
46,2009,43906.87,43906.87,43906.87,2008-10-31
47,2009,25920.0,25920.0,25920.0,2008-10-01
48,2009,177341.1,177341.1,177341.1,2008-10-14
49,2009,396698.0,396698.0,476698.0,2008-12-31
50,2009,6000.0,6000.0,6000.0,2008-10-10
51,2009,26333.29,26333.29,26333.29,2008-12-10
52,2009,41525.65,41525.65,41525.65,2008-10-01
53,2009,171750.0,171750.0,171750.0,2008-10-01
54,2009,143053.61,143053.61,143053.61,2008-12-05
55,2009,75600.0,75600.0,336842.88,2008-10-01
56,2009,276000.0,276000.0,276000.0,2008-10-01
57,2009,32819.77,32819.77,32819.77,2008-11-19
58,2009,42994.43,42994.43,42994.43,2008-10-01
59,2009,2780.0,2780.0,2780.0,2008-10-01
60,2009,200624.0,200624.0,200624.0,2008-10-28
61,2009,40142.15,40142.15,40142.15,2008-12-12
62,2009,38157.35,38157.35,38157.35,2008-12-31
63,2009,3208842.96,3208842.96,3208842.96,2008-10-01
64,2009,3007.94,3007.94,3007.94,2008-10-20
65,2009,63488.81,63488.81,63488.81,2008-10-28
66,2009,851431.0,851431.0,851431.0,2008-10-10
67,2009,25955.25,25955.25,25955.25,2008-12-04
68,2009,861853.31,861853.31,861853.31,2008-10-29
69,2009,29504.6,29504.6,29504.6,2008-12-11
70,2009,26400.0,26400.0,26400.0,2008-10-21
71,2009,205340.8,205340.8,205340.8,2008-10-01
72,2009,108274.87,108274.87,108274.87,2008-10-01
73,2009,60000.0,60000.0,60000.0,2008-10-01
74,2009,1358806.44,1358806.44,1358806.44,2008-10-30
75,2009,31200.0,31200.0,31200.0,2008-12-18
76,2009,71000.0,71000.0,71000.0,2008-11-14
77,2009,183657.6,183657.6,918288.0,2008-10-01
78,2009,180509.12,180509.12,180509.12,2008-10-30
79,2009,13233.36,13233.36,13233.36,2008-10-01
80,2009,51000.0,0.0,51000.0,2008-12-02
81,2009,245936.0,245936.0,245936.0,2008-10-01
82,2009,53640.82,53640.82,53640.82,2008-12-30
83,2009,2851005.61,2851005.61,0.0,2008-10-01
84,2009,1497838.72,1497838.72,1497838.72,2008-10-01
85,2009,38034.0,38034.0,38034.0,2008-11-26
86,2009,101677.5,101677.5,101677.5,2008-11-25
87,2009,12044.16,12044.16,12044.16,2008-10-01
88,2009,76720.76,76720.76,76720.76,2008-10-01
89,2009,1190.51,1190.51,1190.51,2008-12-30
90,2009,303296.8,303296.8,303296.8,2008-11-24
91,2009,6447.52,6447.52,6447.52,2008-12-17
92,2009,130931.05,130931.05,130931.05,2008-10-01
93,2009,49250.52,49250.52,49250.52,2008-10-22
94,2009,27225.89,0.0,27225.89,2008-12-19
95,2009,14950.0,14950.0,14950.0,2008-11-10
96,2009,103803.99,103803.99,103803.99,2008-10-01
97,2009,84826.56,84826.56,84826.56,2008-12-16
98,2009,24472.0,24472.0,24472.0,2008-11-25
99,2009,183657.6,183657.6,959374.08,2008-10-01
100,2009,19434.62,19434.62,107388.48,2008-10-01
101,2009,516999.96,516999.96,516999.96,2008-10-01
102,2009,47250.0,47250.0,47250.0,2008-10-01
103,2009,260153.84,260153.84,260153.84,2008-11-24
104,2009,341000.0,341000.0,341000.0,2008-10-23
105,2009,85736.81,85736.81,85736.81,2008-10-23
106,2009,5466.0,5466.0,5466.0,2008-10-01
107,2009,425880.0,425880.0,2129400.0,2008-10-01
108,2009,8929.37,8929.37,8929.37,2008-10-01
109,2009,1306410.08,1306410.08,1306410.08,2008-10-01
110,2009,4605.0,4605.0,4605.0,2008-10-01
111,2009,1915839.96,1915839.96,0.0,2008-10-01
112,2009,7635.54,7635.54,7635.54,2008-10-20
